Variables,Site,Mean,Variance,StDev
NN,BP,3.430958904109589,39.99694767884323,6.324314008558021
NN,W,0.6424705882352941,2.19766406162465,1.482452043617145
percent_sgd,BP,2.5142507159178082,12.519086697516627,3.538232142965838
percent_sgd,W,1.7577899376588235,14.971757957984135,3.869335596453755
pH,BP,8.08633892479452,0.014836359530591007,0.1218045956874822
pH,W,7.984270588235294,0.004688890196078429,0.06847547149219514
Phosphate,BP,0.2234246575342466,0.02277283105022831,0.15090669650558358
Phosphate,W,0.14270588235294118,0.007815210084033613,0.08840367686942446
Salinity,BP,33.88416535821918,1.3735357178987675,1.1719794016529332
Salinity,W,34.08322994317647,1.7324265963408656,1.316216774069099
Silicate,BP,19.963150684931506,789.2482941019787,28.09356321476467
Silicate,W,13.605294117647059,896.9220871148459,29.948657517739353
TA,BP,2266.3252017123286,3336.2657707484827,57.76041698904608
TA,W,2265.030680082353,1248.4175973069127,35.33295341896729
Temp_in,BP,24.66714808849315,0.8455879282964099,0.9195585507711893
Temp_in,W,24.35611539364706,0.5751973389736565,0.7584176547085758
